uuid,is_security,is_toxicity,is_stereotype,_id,tsne_x,tsne_y,class
f44198eb-b90f-6875-4539-019d5d13b5a2,False,True,False,445297193879972176,-28.030571,26.538956,Toxicity
5a80f9a3-dac3-7bdc-1fa8-d8e75cbcbb27,False,True,False,445297193879972178,28.147413,-14.975121,Toxicity
7cd76ed6-74c7-f80b-ad4f-9ce3ba21cc4e,False,True,False,445297193879972180,10.53476,29.49154,Toxicity
f4a53b8f-e580-dbfd-d3bb-0a6099127f37,False,True,False,445297193879972182,32.252598,-18.227629,Toxicity
adc1ae0d-933d-5410-9301-564aeea9eb0a,False,True,False,445297193879972184,3.7130432,30.05589,Toxicity
19335021-1555-5336-b82b-6cbccfc64a46,False,True,False,445297193879972186,-50.21906,30.091515,Toxicity
8c77556c-2635-ecfc-410e-2496a57b6cfa,False,True,False,445297193879972188,41.198742,14.170761,Toxicity
70328a77-81a7-94b3-fc3e-fd0a4310ec28,False,True,False,445297193879972190,-39.136524,8.72486,Toxicity
6ec80a95-d197-63f7-7b0b-49b065589aea,False,True,True,445297193879972192,-34.333187,7.6280756,Stereotype
7c8d9c66-9648-4d38-f70f-0dd5b76d59e7,False,True,True,445297193879972194,33.277588,2.0057204,Stereotype
7ed40428-a899-087a-8283-d29668d66c7f,False,True,True,445297193879972196,-12.814568,-0.31897986,Stereotype
b8a6d455-be76-9961-be22-7438acfc7b15,False,True,True,445297193879972198,44.242634,10.244682,Stereotype
b31e7054-6fb1-ca4d-91cb-47ba0be3326d,False,True,True,445297193879972200,4.788589,35.541138,Stereotype
9a96a03e-84cb-bd77-36b9-4c72e486d0cb,False,True,True,445297193879972202,-21.12363,-39.84876,Stereotype
357eee17-4a0b-3ce4-cfc1-29fde5739a15,False,True,True,445297193879972204,39.08872,-1.2388867,Stereotype
5b2e4857-e79e-a8b0-d3a6-fa15fb6d6d37,False,True,True,445297193879972206,0.047847353,24.995504,Stereotype
19632f36-98ca-5f48-6ba0-dac9146f990b,False,True,True,445297193879972208,0.046669655,25.004215,Stereotype
4040a6a0-ca6f-348b-9563-151451237065,False,True,True,445297193879972210,-14.172491,8.631469,Stereotype
